Проект,,,
Дата,,,
Тестировщик,,Фатима,
Предусловия,,"Smoke-тестирования плеера, используемого на сайте https://www.youtube.com",
Окружение,,"Mac OS, Chrome, Prod",
Вид тестрования,,Smoke тестирование,
Номер,Проверки,Статус,Комментарий
1,Плеер отображен и доступен,,
2,Плеер реагирует на нажатие кнопки воспроизведения / паузы и видео начинает / останавливает воспроизведение,,
3,Видео начинается автоматически после загрузки страницы,,
4,Видео возобновляется с того же места,,
5,Время воспроизведения видео и ползунок прокрутки обновляются в режиме реального времени,,
6,Переключение между различными качествами видео происходит без задержек,,"480 р, 720 р, 1080 р."
7,Перемотка видео вперед / назад с помощью ползунка прокрутки или кнопок перемотки,,
8,После завершения видео возможность повторного воспроизведения текущего ,,
9,Возможность переключения на предыдущее / следующее видео,,
10,Изменение громкости звука,,
11,Настройки звука сохранаятся после перезагрузки страницы,,
12,Наличие полноэкранного режима воспроизведения и его перехода без ошибок,,
13,Субтитря отображены в плеере (при их выборе),,
14,"Добавление видео в ""Избранное""",,
15,Проверка возможности делиться видео в социальных сетях,,
16,Регулировка скорости воспроизведения видео ,,
17,Панель настройки открывается / сворачивается,,
18,Отображается полное время видео согласно требованиям,,
19,Открывается / закрывается мини-проигрыватель,,